Post Index: 2 | Diff: 0.82 | Level: HIGH
Post Index: 8 | Diff: 0.53 | Level: MED
Post Index: 9 | Diff: 1.70 | Level: HIGH
Post Index: 11 | Diff: 0.78 | Level: HIGH
Post Index: 15 | Diff: 0.97 | Level: HIGH
Post Index: 18 | Diff: 0.52 | Level: MED
Post Index: 20 | Diff: 0.53 | Level: MED
Post Index: 22 | Diff: 0.99 | Level: HIGH
Post Index: 23 | Diff: 0.60 | Level: MED
Post Index: 25 | Diff: 0.96 | Level: HIGH
Post Index: 26 | Diff: 0.60 | Level: MED
Post Index: 29 | Diff: 0.74 | Level: HIGH
Post Index: 32 | Diff: 0.88 | Level: HIGH
Post Index: 45 | Diff: 0.75 | Level: HIGH
Post Index: 47 | Diff: 0.54 | Level: MED
Post Index: 49 | Diff: 0.31 | Level: LOW
Post Index: 55 | Diff: 0.72 | Level: HIGH
Post Index: 56 | Diff: 0.99 | Level: HIGH
Post Index: 60 | Diff: 0.87 | Level: HIGH
Post Index: 62 | Diff: 0.87 | Level: HIGH
Post Index: 63 | Diff: 0.60 | Level: MED
Post Index: 65 | Diff: 0.81 | Level: HIGH
Post Index: 71 | Diff: 0.73 | Level: HIGH
Post Index: 85 | Diff: 0.85 | Level: HIGH
Post Index: 86 | Diff: 0.83 | Level: HIGH
Post Index: 92 | Diff: 0.62 | Level: MED
Post Index: 93 | Diff: 0.75 | Level: HIGH
Post Index: 96 | Diff: 0.92 | Level: HIGH
Post Index: 100 | Diff: 0.88 | Level: HIGH
Post Index: 101 | Diff: 0.55 | Level: MED
Post Index: 107 | Diff: 0.57 | Level: MED
Post Index: 113 | Diff: 0.96 | Level: HIGH
Post Index: 115 | Diff: 0.96 | Level: HIGH
Post Index: 116 | Diff: 0.35 | Level: LOW
Post Index: 117 | Diff: 0.96 | Level: HIGH
Post Index: 120 | Diff: 0.61 | Level: MED
Post Index: 128 | Diff: 0.98 | Level: HIGH
Post Index: 129 | Diff: 0.93 | Level: HIGH
Post Index: 130 | Diff: 0.93 | Level: HIGH
Post Index: 131 | Diff: 1.39 | Level: HIGH
Post Index: 132 | Diff: 0.85 | Level: HIGH
Post Index: 133 | Diff: 0.34 | Level: LOW
Post Index: 135 | Diff: 0.67 | Level: MED
Post Index: 138 | Diff: 0.64 | Level: MED
Post Index: 141 | Diff: 0.40 | Level: LOW
Post Index: 143 | Diff: 0.94 | Level: HIGH
Post Index: 144 | Diff: 0.97 | Level: HIGH
Post Index: 145 | Diff: 0.76 | Level: HIGH
Post Index: 147 | Diff: 0.96 | Level: HIGH
Post Index: 149 | Diff: 0.88 | Level: HIGH
Post Index: 150 | Diff: 0.94 | Level: HIGH
Post Index: 151 | Diff: 1.45 | Level: HIGH
Post Index: 154 | Diff: 0.73 | Level: HIGH
Post Index: 155 | Diff: 0.98 | Level: HIGH
Post Index: 157 | Diff: 0.36 | Level: LOW
Post Index: 162 | Diff: 1.80 | Level: HIGH
Post Index: 164 | Diff: 0.96 | Level: HIGH
Post Index: 165 | Diff: 0.87 | Level: HIGH
Post Index: 176 | Diff: 0.86 | Level: HIGH
Post Index: 179 | Diff: 0.60 | Level: MED
Post Index: 181 | Diff: 0.94 | Level: HIGH
Post Index: 182 | Diff: 0.94 | Level: HIGH
Post Index: 184 | Diff: 0.96 | Level: HIGH
Post Index: 185 | Diff: 0.88 | Level: HIGH
Post Index: 186 | Diff: 0.89 | Level: HIGH
Post Index: 188 | Diff: 0.72 | Level: HIGH
Post Index: 190 | Diff: 0.93 | Level: HIGH
Post Index: 192 | Diff: 0.79 | Level: HIGH
Post Index: 194 | Diff: 0.96 | Level: HIGH
Post Index: 200 | Diff: 0.54 | Level: MED
Post Index: 201 | Diff: 0.83 | Level: HIGH
Post Index: 202 | Diff: 0.70 | Level: HIGH
Post Index: 203 | Diff: 0.74 | Level: HIGH
Post Index: 205 | Diff: 0.73 | Level: HIGH
Post Index: 208 | Diff: 0.74 | Level: HIGH
Post Index: 211 | Diff: 0.95 | Level: HIGH
Post Index: 214 | Diff: 1.86 | Level: HIGH
Post Index: 216 | Diff: 0.92 | Level: HIGH
Post Index: 218 | Diff: 0.88 | Level: HIGH
Post Index: 219 | Diff: 0.88 | Level: HIGH
Post Index: 220 | Diff: 0.82 | Level: HIGH
Post Index: 227 | Diff: 0.34 | Level: LOW
Post Index: 229 | Diff: 0.94 | Level: HIGH
Post Index: 230 | Diff: 0.86 | Level: HIGH
Post Index: 234 | Diff: 0.88 | Level: HIGH
Post Index: 239 | Diff: 0.51 | Level: MED
Post Index: 240 | Diff: 0.96 | Level: HIGH
Post Index: 245 | Diff: 0.60 | Level: MED
Post Index: 246 | Diff: 0.66 | Level: MED
Post Index: 249 | Diff: 0.94 | Level: HIGH
Post Index: 253 | Diff: 0.75 | Level: HIGH
Post Index: 255 | Diff: 0.95 | Level: HIGH
Post Index: 257 | Diff: 0.68 | Level: MED
Post Index: 258 | Diff: 0.56 | Level: MED
Post Index: 263 | Diff: 0.77 | Level: HIGH
Post Index: 266 | Diff: 0.94 | Level: HIGH
Post Index: 267 | Diff: 0.96 | Level: HIGH
Post Index: 272 | Diff: 0.62 | Level: MED
Post Index: 273 | Diff: 0.94 | Level: HIGH
Post Index: 277 | Diff: 0.94 | Level: HIGH
Post Index: 284 | Diff: 0.88 | Level: HIGH
Post Index: 292 | Diff: 0.85 | Level: HIGH
Post Index: 295 | Diff: 0.99 | Level: HIGH
Post Index: 298 | Diff: 0.98 | Level: HIGH
Post Index: 299 | Diff: 0.83 | Level: HIGH
Post Index: 300 | Diff: 0.36 | Level: LOW
Post Index: 302 | Diff: 0.64 | Level: MED
Post Index: 305 | Diff: 0.71 | Level: HIGH
Post Index: 306 | Diff: 1.07 | Level: HIGH
Post Index: 311 | Diff: 0.86 | Level: HIGH
Post Index: 317 | Diff: 0.72 | Level: HIGH
Post Index: 321 | Diff: 0.84 | Level: HIGH
Post Index: 323 | Diff: 0.79 | Level: HIGH
Post Index: 325 | Diff: 0.31 | Level: LOW
Post Index: 329 | Diff: 0.90 | Level: HIGH
Post Index: 330 | Diff: 0.55 | Level: MED
Post Index: 332 | Diff: 0.97 | Level: HIGH
Post Index: 337 | Diff: 0.83 | Level: HIGH
