singlish,english,meaning,sentiment_description,sentiment_score
4D,Local 4 digit lottery game run by Singapore Pools,Local lottery game,Neutral,-0.147
5Cs,Refers to the 5 Cs of Singapore (cash  car  credit card  condominium  country club membership),Materialistic success,Neutral,-0.121
11B,Official Singapore Army vernacular meaning '11 basic information',SAF identity card,Neutral,-0.095
abit,A little bit,Usually used sarcastically,Negative,-0.421
abuden,'Ar bo  then?',"Obviously; what else could it have been? Equivalent to ""duh"".",Neutral,-0.099
ACBC,"Acronym for ""act cute  buay cute."" Behaving in an exaggeratedly cutesy manner", but comes across as annoying,Negative,-0.713
act blur,To feign ignorance,Pretending not to know,Negative,-0.37
act cute,A phrase which describes behaving in a cutesy manner,Behaving in a cutesy manner,Neutral,-0.137
action,Refers to a person that is perceived as arrogant or haughty,Arrogant or haughty person,Negative,-0.959
agak agak / agak-agak,An estimate,An estimation,Neutral,-0.148
agak-ration,An estimate or estimation,An estimation,Neutral,-0.126
Ah Beng,A hillbilly  or someone with poor dress sense. Also used to refer to a gangster,Hillbilly/gangster,Negative,-0.622
Ah Seng,Ah Beng's sidekick. Also used to refer to a gangster,Ah Beng's sidekick/gangster,Negative,-0.591
ah,Exclamation. /  (... ah?),Exclamation/Expressing doubt,Neutral,-0.069
ah gua / ah kwa / ah qua,A transvestite  often assumed to be a Thai transsexual,Feminine male/transvestite,Negative,-0.493
Ah Lian,A hillbilly  someone with little dress sense; female form of Ah Beng. Also used to refer to a gangster,Hillbilly/gangster (female),Negative,-0.558
Ah Huay,Ah Lian's sidekick; female form of Ah Seng. Also used to refer to a gangster,Ah Lian's sidekick/gangster (female),Negative,-0.548
Ah Long,Slang term for a loan shark. / Sometimes used to mistranslate Lee Hsien Loong,Loan shark,Negative,-1.0
ah neh,means older brother; a shortened version of a racial slur,Older brother (potentially derogatory),Negative,-0.844
ah pu neh neh,A racial slur for Indians,Racial slur,Negative,-1.0
ah tiong,Sometimes used simply as Tiong. A derogatory term for Chinese nationals,Derogatory term for Chinese nationals,Negative,-1.0
ai see,Used to describe someone on thin ice,Being in a precarious situation,Negative,-0.741
ai see buay see,Used to describe someone on thin ice,Being in a precarious situation,Negative,-0.67
aiseh,An exclamation made in awe of something,Expression of awe,Positive,0.379
ai swee mai m'niah,Used on a person who is so vain their life or wellbeing is compromised,Extreme vanity,Negative,-0.778
ai sui,Refers to a person who is beauty conscious,Beauty conscious person,Neutral,-0.079
ai tzai / ai zai,Used in a reassuring manner to calm people down,Reassuring,Positive,0.24
Aiya(h) / Aiyo(h),"Oh no! ""Oh dear!""",Expression of dismay,Negative,-0.821
Aiyoh, so embarrassing!,Refers to a catchphrase popularized by Aunty Lucy,Negative,-0.459
Aiyoyo / Ai-yoh-yoh ,Extreme version of Aiyoh, popularized by the role played by Chen Liping,Negative,-0.583
akan datang,Means 'coming soon'  as seen in movie trailers. Used to reassure an impatient person,Coming soon,Positive,0.092
alamak,"Phonetically close to the Chinese term ""Oh  my mother!""",Expression of shock or dismay,Negative,-0.654
amacam,"A greeting  similar to ""What's up?""",Greeting,Neutral,-0.054
ang mo(h),A term for people of European descent,Term for Europeans,Neutral,-0.061
ang mo(h) pai,A term used among Chinese Singaporeans to insult those who speak good English but whose Chinese language skills are lacking  or whose mannerisms are perceived as too Western,Insult for Westernized Chinese,Negative,-0.842
ang pau / ang pow,Red packet with money to be given on Chinese New Year,Gift of money,Positive,0.52
an zhua?,"Hokkien equivalent of ""What's up?""",Asking what's up,Neutral,-0.127
ar,Used at the end of a sentence where opinions and affirmations are being sought. / Used as either a noun or a verb to denote a very cozy  non-sexual relationship with someone that might result in special considerations or leeway not available to anyone else without such a relationship.,Seeking affirmation/Cozy relationship,Positive,0.1
ar bo,"Means ""What else?"" or ""How else?""",Obvious answer,Neutral,-0.128
atas,"Used to describe a snobbish and arrogant person. / Used to describe a ""high class""  well-to-do or sophisticated person",Snobbish/High class,Negative,-0.541
ayam,Used to describe someone who is easily intimidated,Easily intimidated person,Negative,-0.702
ay / aye / ayy,To express a bit of ‘yeah’ feeling,Affirmative,Positive,0.057
balik kampong / balek kampung,Pack up one's things and go home. The term also refers to returning to one's hometown,Going home,Neutral,-0.113
bakkwa / bak kwa,A Chinese salty-sweet dried meat product similar to jerky,Dried meat snack,Positive,0.293
bao toh,The act of backstabbing someone  usually in an office or political context,Backstabbing,Negative,-1.0
barang barang,Personal belongings,Personal items,Neutral,-0.094
basket,"Replacement for the word ""Bastard""",Mildly vulgar insult,Negative,-0.565
berak,To defecate,Defecate,Neutral,-0.146
belanja,To treat or pay for someone,Treat someone,Positive,0.345
bird bird,Penis,Crude term for male genitalia,Negative,-0.692
bo cheng sa,shirtless / half-naked,Being shirtless,Neutral,-0.144
blur,Someone who is forgetful  clumsy  or oblivious,Forgetful/clumsy,Negative,-0.479
bodoh,Idiot  ignorant,Idiot,Negative,-0.957
bo(h) be(h) zao,Used to describe something that is of unrivalled excellence,Unrivaled excellence,Positive,0.856
bo(h) bian / bo(h) pien,No choice,No choice,Negative,-0.616
bo(h) chup,Hokkien for to not care/ disregard something,Not caring,Negative,-0.787
bo(h) eng,To have little or no time on one's hands,Being busy,Negative,-0.44
bo(h) gay / bo(h) ge(h),Usually used to describe someone with a missing tooth,Missing tooth,Neutral,-0.064
bo(h) jio / bojio,You didn't invite me,Not inviting someone,Negative,-0.384
bo(h) liao,A slang expression to describe being in a situation of idleness. Also used to describe an act of doing something silly,Bored/Silly,Negative,-0.414
bo(h) ta bo lan pa,"Usually used in drinking for ""bottoms up""",Bottoms up,Positive,0.158
bo(h) tao bo(h) be(h),A story that has no linkage,Incoherent story,Negative,-0.595
bo(h) tuah bo(h) suay,Ignorant or unaware of who is the 'senior' or 'junior',Ignorant of social hierarchy,Negative,-0.705
bo(h) zheng hu,Used to describe a lack of governance or authority,Lack of authority,Negative,-0.95
